Year,District,Crop,Season,Area_Hectares,Production_Tonnes,Productivity_Tonnes_per_Hectare,Sowing_Period,Harvest_Period,Weather_Impact_Factor,Category
2022,Palakkad,Ginger,Whole Year,3138.98,46515.28,14.819,April-May,December-January,1.143,Spice
2022,Malappuram,Ginger,Whole Year,2731.29,36853.73,13.493,April-May,December-January,1.088,Spice
2022,Idukki,Ginger,Whole Year,2222.35,31454.51,14.154,April-May,December-January,1.08,Spice
2022,Kannur,Ginger,Whole Year,1904.43,23872.49,12.535,April-May,December-January,1.067,Spice
2022,Palakkad,Turmeric,Whole Year,2720.21,29320.91,10.779,April-May,January-February,1.148,Spice
2022,Malappuram,Turmeric,Whole Year,2241.96,21031.54,9.381,April-May,January-February,1.063,Spice
2022,Kozhikode,Turmeric,Whole Year,2277.56,21284.23,9.345,April-May,January-February,1.126,Spice
2022,Ernakulam,Turmeric,Whole Year,1635.65,13562.2,8.292,April-May,January-February,1.09,Spice
2022,Wayanad,Turmeric,Whole Year,1244.61,10292.72,8.27,April-May,January-February,1.057,Spice
2022,Kottayam,Rubber,Whole Year,120732.14,259731.59,2.151,Year-round tapping,Year-round tapping,1.147,Plantation
2022,Pathanamthitta,Rubber,Whole Year,95135.5,178725.18,1.879,Year-round tapping,Year-round tapping,1.101,Plantation
2022,Ernakulam,Rubber,Whole Year,90249.41,178895.37,1.982,Year-round tapping,Year-round tapping,1.114,Plantation
2022,Kollam,Rubber,Whole Year,85884.9,154688.53,1.801,Year-round tapping,Year-round tapping,1.115,Plantation
2022,Thiruvananthapuram,Rubber,Whole Year,67895.66,144421.93,2.127,Year-round tapping,Year-round tapping,1.056,Plantation
2022,Thrissur,Rubber,Whole Year,46449.22,85884.52,1.849,Year-round tapping,Year-round tapping,1.062,Plantation
2022,Thrissur,Banana,Whole Year,8679.12,331756.5,38.225,"April-May, Sep-Oct",Year-round,1.119,Food Crop
2022,Ernakulam,Banana,Whole Year,8054.0,305186.97,37.893,"April-May, Sep-Oct",Year-round,1.15,Food Crop
2022,Thiruvananthapuram,Banana,Whole Year,6625.4,274453.88,41.424,"April-May, Sep-Oct",Year-round,1.081,Food Crop
2022,Kollam,Banana,Whole Year,6159.44,278671.82,45.243,"April-May, Sep-Oct",Year-round,1.093,Food Crop
2022,Palakkad,Banana,Whole Year,5062.51,189100.85,37.353,"April-May, Sep-Oct",Year-round,1.087,Food Crop
2022,Alappuzha,Banana,Whole Year,5360.41,205419.71,38.322,"April-May, Sep-Oct",Year-round,1.123,Food Crop
2023,Alappuzha,Rice,Virippu,21851.43,55430.36,2.537,April-May,September-October,1.0,Food Crop
2023,Alappuzha,Rice,Mundakan,15319.83,50560.07,3.3,September-October,December-January,1.0,Food Crop
2023,Alappuzha,Rice,Puncha,6250.87,20296.19,3.247,December-January,March-April,1.0,Food Crop
2023,Thrissur,Rice,Virippu,17486.6,58550.37,3.348,April-May,September-October,1.0,Food Crop
2023,Thrissur,Rice,Mundakan,12323.24,36364.59,2.951,September-October,December-January,1.0,Food Crop
2023,Thrissur,Rice,Puncha,5564.1,17579.31,3.159,December-January,March-April,1.0,Food Crop
2023,Palakkad,Rice,Virippu,14979.52,44355.61,2.961,April-May,September-October,1.0,Food Crop
2023,Palakkad,Rice,Mundakan,10267.28,30529.65,2.973,September-October,December-January,1.0,Food Crop
2023,Palakkad,Rice,Puncha,4461.09,16230.32,3.638,December-January,March-April,1.0,Food Crop
2023,Ernakulam,Rice,Virippu,11642.56,32446.98,2.787,April-May,September-October,1.0,Food Crop
2023,Ernakulam,Rice,Mundakan,9393.64,29556.26,3.146,September-October,December-January,1.0,Food Crop
2023,Ernakulam,Rice,Puncha,3624.55,12563.47,3.466,December-January,March-April,1.0,Food Crop
2023,Kottayam,Rice,Virippu,9697.19,35564.05,3.667,April-May,September-October,1.0,Food Crop
2023,Kottayam,Rice,Mundakan,7237.27,22255.3,3.075,September-October,December-January,1.0,Food Crop
2023,Kottayam,Rice,Puncha,3323.6,10120.14,3.045,December-January,March-April,1.0,Food Crop
2023,Kollam,Rice,Virippu,9333.94,30583.77,3.277,April-May,September-October,1.0,Food Crop
2023,Kollam,Rice,Mundakan,6710.05,24154.48,3.6,September-October,December-January,1.0,Food Crop
2023,Kollam,Rice,Puncha,2704.32,8132.23,3.007,December-January,March-April,1.0,Food Crop
2023,Thiruvananthapuram,Rice,Virippu,7672.49,23220.83,3.027,April-May,September-October,1.0,Food Crop
2023,Thiruvananthapuram,Rice,Mundakan,5778.51,18693.22,3.235,September-October,December-January,1.0,Food Crop
2023,Thiruvananthapuram,Rice,Puncha,2208.9,7172.92,3.247,December-January,March-April,1.0,Food Crop
2023,Malappuram,Coconut,Whole Year,97927.59,677368211.39,6917.032,Year-round,Year-round,1.0,Plantation
2023,Kozhikode,Coconut,Whole Year,121902.38,866221664.18,7105.863,Year-round,Year-round,1.0,Plantation
2023,Kannur,Coconut,Whole Year,78655.32,615241251.87,7821.992,Year-round,Year-round,1.0,Plantation
2023,Thrissur,Coconut,Whole Year,83683.53,663725216.76,7931.372,Year-round,Year-round,1.0,Plantation
2023,Thiruvananthapuram,Coconut,Whole Year,74535.97,525174696.35,7045.923,Year-round,Year-round,1.0,Plantation
2023,Ernakulam,Coconut,Whole Year,60379.12,507232883.63,8400.8,Year-round,Year-round,1.0,Plantation
2023,Kollam,Coconut,Whole Year,54112.63,397700787.73,7349.5,Year-round,Year-round,1.0,Plantation
2023,Wayanad,Pepper,Whole Year,15996.15,5847.78,0.366,June-July,December-February,1.0,Spice
2023,Idukki,Pepper,Whole Year,18410.3,7559.64,0.411,June-July,December-February,1.0,Spice
2023,Kottayam,Pepper,Whole Year,11613.89,4366.58,0.376,June-July,December-February,1.0,Spice
2023,Pathanamthitta,Pepper,Whole Year,10028.51,3585.4,0.358,June-July,December-February,1.0,Spice
2023,Kozhikode,Pepper,Whole Year,8611.39,3136.43,0.364,June-July,December-February,1.0,Spice
2023,Palakkad,Pepper,Whole Year,6161.49,2341.55,0.38,June-July,December-February,1.0,Spice
2023,Idukki,Cardamom,Whole Year,83448.95,14012.36,0.168,May-June,October-December,1.0,Spice
2023,Wayanad,Cardamom,Whole Year,7582.08,1150.08,0.152,May-June,October-December,1.0,Spice
2023,Palakkad,Cardamom,Whole Year,2205.62,361.97,0.164,May-June,October-December,1.0,Spice
2023,Wayanad,Ginger,Whole Year,3461.28,42307.88,12.223,April-May,December-January,1.0,Spice
2023,Kozhikode,Ginger,Whole Year,3046.11,40561.21,13.316,April-May,December-January,1.0,Spice
2023,Palakkad,Ginger,Whole Year,2920.47,34802.97,11.917,April-May,December-January,1.0,Spice
2023,Malappuram,Ginger,Whole Year,2479.11,31689.42,12.783,April-May,December-January,1.0,Spice
2023,Idukki,Ginger,Whole Year,1975.13,27863.85,14.107,April-May,December-January,1.0,Spice
2023,Kannur,Ginger,Whole Year,1844.19,24407.6,13.235,April-May,December-January,1.0,Spice
2023,Palakkad,Turmeric,Whole Year,2582.86,24015.34,9.298,April-May,January-February,1.0,Spice
2023,Malappuram,Turmeric,Whole Year,2018.1,15374.21,7.618,April-May,January-February,1.0,Spice
2023,Kozhikode,Turmeric,Whole Year,1835.97,14792.57,8.057,April-May,January-February,1.0,Spice
2023,Ernakulam,Turmeric,Whole Year,1460.35,12995.29,8.899,April-May,January-February,1.0,Spice
2023,Wayanad,Turmeric,Whole Year,1274.3,10849.96,8.514,April-May,January-February,1.0,Spice
2023,Kottayam,Rubber,Whole Year,106621.37,218053.39,2.045,Year-round tapping,Year-round tapping,1.0,Plantation
2023,Pathanamthitta,Rubber,Whole Year,96143.58,209077.9,2.175,Year-round tapping,Year-round tapping,1.0,Plantation
2023,Ernakulam,Rubber,Whole Year,87403.42,135165.03,1.546,Year-round tapping,Year-round tapping,1.0,Plantation
2023,Kollam,Rubber,Whole Year,77825.03,144356.62,1.855,Year-round tapping,Year-round tapping,1.0,Plantation
2023,Thiruvananthapuram,Rubber,Whole Year,69191.7,131252.37,1.897,Year-round tapping,Year-round tapping,1.0,Plantation
2023,Thrissur,Rubber,Whole Year,44688.47,72560.72,1.624,Year-round tapping,Year-round tapping,1.0,Plantation
2023,Thrissur,Banana,Whole Year,7916.39,258221.13,32.619,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2023,Ernakulam,Banana,Whole Year,6796.82,249089.87,36.648,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2023,Thiruvananthapuram,Banana,Whole Year,6500.97,234718.09,36.105,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2023,Kollam,Banana,Whole Year,5171.13,187427.1,36.245,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2023,Palakkad,Banana,Whole Year,5299.16,176422.79,33.293,"April-May, Sep-Oct",Year-round,1.0,Food Crop
2023,Alappuzha,Banana,Whole Year,4469.85,156628.45,35.041,"April-May, Sep-Oct",Year-round,1.0,Food Crop
